Date,ABB,Assa Abloy,AstraZeneca,Carlsberg,Coloplast,Danske Bank,Elisa,Ericsson,Fortum,Genmab,Hennes & Mauritz,Hexagon,Investor,Nokia,Nordea,Novo Nordisk,Sampo,SCA,SEB,SKF,Stora Enso,Svenska Handelsbanken,Swedbank,Swedish Match,Tele2,UPM-Kymmene,Volvo
2002-09-27,3.5,32.33333206176758,15.5,50.20000076293945,53.599998474121094,110.11891174316406,4.880000114440918,19.600000381469727,4.368024826049805,31.899999618530273,84.0,1.5802459716796875,12.175000190734863,13.699999809265137,30.21098518371582,21.0,6.194239139556885,20.329360961914062,43.72270584106445,54.25,10.130000114440918,41.166664123535156,80.23458099365234,7.400000095367432,35.17218017578125,14.680000305175781,27.899999618530273
2002-09-30,3.4000000953674316,30.0,15.28499984741211,50.20000076293945,53.0,105.4920654296875,4.650000095367432,16.850000381469727,4.315758228302002,31.0,80.5,1.5432100296020508,11.324999809265137,13.25,28.653718948364258,20.5,6.145465850830078,19.51346778869629,40.63639450073242,52.375,9.800000190734863,38.5,76.51235961914062,7.0,33.244937896728516,13.899999618530273,26.899999618530273
2002-10-01,2.950000047683716,30.333332061767578,16.024999618530273,52.20000076293945,54.20000076293945,102.71595764160156,4.570000171661377,18.0,4.480024814605713,33.5,79.5,1.4814800024032593,11.625,14.239999771118164,28.965171813964844,19.149999618530273,6.340559959411621,19.581457138061523,41.922359466552734,53.125,9.529999732971191,38.5,79.40742492675781,7.050000190734863,33.60629653930664,13.675000190734863,25.799999237060547
2002-10-02,2.950000047683716,29.66666603088379,16.229999542236328,54.0,55.400001525878906,107.34280395507812,4.889999866485596,21.149999618530273,4.494958877563477,34.70000076293945,79.75,1.4567899703979492,11.875,14.050000190734863,28.731582641601562,19.950000762939453,6.535654067993164,19.751436233520508,40.89358901977539,52.625,9.199999809265137,39.166664123535156,79.40742492675781,7.0,33.9676513671875,13.699999809265137,26.899999618530273
2002-10-03,2.950000047683716,28.66666603088379,16.68000030517578,53.5,54.400001525878906,106.41743469238281,4.849999904632568,21.5,4.532291889190674,33.5,75.75,1.4444429874420166,11.675000190734863,13.850000381469727,26.86286163330078,19.700000762939453,6.340559959411621,19.24150276184082,39.86481857299805,52.25,9.260000228881836,39.33333206176758,77.33952331542969,6.849999904632568,34.69036865234375,13.25,26.200000762939453
2002-10-04,2.9100000858306885,28.5,16.149999618530273,52.29999923706055,55.0,106.88011932373047,4.75,20.600000381469727,4.517358779907227,33.5,77.0,1.4444429874420166,11.350000381469727,13.029999732971191,26.86286163330078,20.100000381469727,6.291786193847656,19.105520248413086,38.578857421875,51.0,9.550000190734863,37.83333206176758,74.85803985595703,6.849999904632568,33.60629653930664,13.550000190734863,26.200000762939453
2002-10-07,2.6500000953674316,28.66666603088379,15.84000015258789,52.0,55.5,107.34280395507812,4.550000190734863,19.049999237060547,4.487492084503174,33.20000076293945,75.5,1.4382729530334473,10.875,13.020000457763672,24.682687759399414,20.600000381469727,6.047918796539307,18.28962516784668,36.00693130493164,49.25,8.949999809265137,35.666664123535156,71.54939270019531,6.75,32.64267349243164,13.300000190734863,25.5
2002-10-08,2.450000047683716,27.833332061767578,15.489999771118164,53.29999923706055,57.400001525878906,109.19354248046875,4.5,18.5,4.5696258544921875,32.0,74.0,1.4444429874420166,10.625,13.390000343322754,24.526960372924805,19.5,6.145465850830078,17.983665466308594,36.26412582397461,48.875,8.5,35.0,71.96297454833984,6.900000095367432,31.679052352905273,13.100000381469727,25.600000381469727
2002-10-09,2.3299999237060547,26.66666603088379,15.609999656677246,53.5,56.0,104.56669616699219,4.599999904632568,18.25,4.763760089874268,32.0,76.75,1.3456799983978271,10.375,12.979999542236328,24.760549545288086,19.549999237060547,6.047918796539307,18.357616424560547,35.492549896240234,48.5,8.640000343322754,34.0,71.96297454833984,6.400000095367432,31.5585994720459,12.989999771118164,25.5
2002-10-10,2.6500000953674316,26.333332061767578,15.6899995803833,52.5,55.0,105.02938079833984,4.53000020980835,19.600000381469727,4.487492084503174,30.700000762939453,79.25,1.3333330154418945,10.5,13.779999732971191,26.006364822387695,19.600000381469727,6.047918796539307,18.255630493164062,38.578857421875,49.0,8.890000343322754,35.5,74.4444580078125,6.599999904632568,32.281314849853516,13.25,25.5
2002-10-11,2.950000047683716,27.833332061767578,16.274999618530273,52.20000076293945,54.5,113.82038879394531,4.630000114440918,22.25,4.442691802978516,31.0,82.75,1.4814800024032593,11.725000381469727,14.4399995803833,28.420127868652344,20.5,6.096692085266113,19.64944839477539,41.150779724121094,52.75,9.640000343322754,37.5,78.58026123046875,6.449999809265137,34.329010009765625,14.6899995803833,26.799999237060547
